transaction_id,date,description,amount,currency,country_code
TX100001,2026-06-01T23:17:00Z,JUST EAT LONDON MANCHESTER GBR,38.62,GBP,GB
TX100002,2026-06-22T23:57:00Z,BOOTS 0122 MANCHESTER GBR,82.94,GBP,GB
TX100003,2026-06-02T00:05:00Z,BP CONNECT CAMBRIDGE GLASGOW GBR,34.75,GBP,GB
TX100004,2026-06-01T17:12:00Z,PRIMARK LONDON LIVERPOOL GBR,108.11,GBP,GB
TX100005,2026-06-14T07:28:00Z,SPORTS DIRECT WEMBLEY BELFAST GBR,89.42,GBP,GB
TX100006,2026-06-25T05:44:00Z,B&Q PLC SOUTHAMPTON LONDON GBR,64.84,GBP,GB
TX100007,2026-06-07T10:06:00Z,NETFLIX.COM BIRMINGHAM GBR,16.18,GBP,GB
TX100008,2026-06-28T11:38:00Z,MARKS&SPENCER PLC EDINBURGH GBR,41.52,GBP,GB
TX100009,2026-06-18T03:59:00Z,SAINSBURYS S/MKTS CARDIFF GBR,58.33,GBP,GB
TX100010,2026-06-27T20:39:00Z,SPAR MANCHESTER BRISTOL GBR,133.1,GBP,GB
TX100011,2026-06-07T22:04:00Z,MCDONALDS DEPTFORD LIVERPOOL GBR,9.26,GBP,GB
TX100012,2026-06-03T07:55:00Z,SBUX COFFEE CO BRISTOL GBR,17.4,GBP,GB
TX100013,2026-06-21T11:10:00Z,NETFLIX.COM CARDIFF GBR,57.1,GBP,GB
TX100014,2026-06-23T21:41:00Z,AMZN Mktp UK*2A34B BRISTOL GBR,13.03,GBP,GB
TX100015,2026-06-18T23:15:00Z,JUST EAT LONDON BIRMINGHAM GBR,26.6,GBP,GB
TX100016,2026-06-30T20:44:00Z,DELIVEROO LONDON BRISTOL GBR,84.65,GBP,GB
TX100017,2026-06-27T01:14:00Z,W H SMITH HEATHROW EDINBURGH GBR,123.72,GBP,GB
TX100018,2026-06-13T08:04:00Z,B&Q PLC SOUTHAMPTON EDINBURGH GBR,33.62,GBP,GB
TX100019,2026-06-07T20:31:00Z,BP CONNECT CAMBRIDGE EDINBURGH GBR,60.86,GBP,GB
TX100020,2026-06-05T08:08:00Z,CAFE NERO WEYBRIDGE CARDIFF GBR,38.88,GBP,GB
TX100021,2026-06-09T23:37:00Z,SPAR MANCHESTER BELFAST GBR,65.69,GBP,GB
TX100022,2026-06-12T07:08:00Z,BP CONNECT CAMBRIDGE GLASGOW GBR,77.66,GBP,GB
TX100023,2026-06-28T03:09:00Z,ASDA SUPERSTORE LONDON GBR,95.05,GBP,GB
TX100024,2026-06-20T02:24:00Z,B&Q PLC SOUTHAMPTON GLASGOW GBR,58.79,GBP,GB
TX100025,2026-06-09T17:55:00Z,LIDL GB WIMBLEDON BELFAST GBR,141.51,GBP,GB
TX100026,2026-06-22T17:48:00Z,W H SMITH HEATHROW MANCHESTER GBR,41.86,GBP,GB
TX100027,2026-06-04T09:27:00Z,JUST EAT LONDON EDINBURGH GBR,25.83,GBP,GB
TX100028,2026-06-17T05:32:00Z,TESCO STORES 3425 BRISTOL GBR,137.11,GBP,GB
TX100029,2026-06-27T20:32:00Z,ARGOS LTD MILTON KEYNES BRISTOL GBR,92.32,GBP,GB
TX100030,2026-06-25T05:34:00Z,BOOTS 0122 EDINBURGH GBR,143.14,GBP,GB
TX100031,2026-06-30T00:38:00Z,CAFE NERO WEYBRIDGE BELFAST GBR,50.31,GBP,GB
TX100032,2026-06-30T11:56:00Z,TESCO STORES 3425 MANCHESTER GBR,147.83,GBP,GB
TX100033,2026-06-08T01:15:00Z,B&Q PLC SOUTHAMPTON BRISTOL GBR,132.01,GBP,GB
TX100034,2026-06-24T15:52:00Z,ASDA SUPERSTORE MANCHESTER GBR,12.71,GBP,GB
TX100035,2026-06-25T04:08:00Z,H&M Hennes & Mauritz BELFAST GBR,99.81,GBP,GB
TX100036,2026-06-09T16:55:00Z,SPAR MANCHESTER BIRMINGHAM GBR,91.97,GBP,GB
TX100037,2026-06-25T23:44:00Z,AMZN Mktp UK*2A34B BELFAST GBR,32.17,GBP,GB
